Issuer Company,Year,Issue Open,Issue Close,Issue Type,Issue Size(Crore Rs.),Issue Price(Rs.),Listing Day Close Price (Rs.)ÿ,Status,Return
Ramky Infrastructure Ltd IPO,2010,21-Sep-10,23-Sep-10,BB,530,450,387.4,1,-13.91
Orient Green Power Company Ltd IPO,2010,21-Sep-10,24-Sep-10,BB,900,47,44.7,1,-4.89
Electrosteel Integrated Ltd IPO,2010,21-Sep-10,24-Sep-10,BB,248.07,11,11.25,1,2.27
Gallantt Ispat Ltd IPO,2010,22-Sep-10,24-Sep-10,FP,40.5,50,81.05,1,62.1
VA Tech Wabag Ltd IPO,2010,22-Sep-10,27-Sep-10,BB,125,"1,310.00",1707.95,1,30.38
Cantabil Retail India Ltd IPO,2010,22-Sep-10,27-Sep-10,BB,105,135,105,1,-22.22
Tecpro Systems Ltd IPO,2010,23-Sep-10,28-Sep-10,BB,267.91,355,405.7,1,14.28
Ashoka Buildcon Ltd IPO,2010,24-Sep-10,28-Sep-10,BB,225,324,330.75,1,2.08
Bedmutha Industries Ltd IPO,2010,28-Sep-10,01-Oct-10,BB,91.8,102,179.15,1,75.64
Commercial Engineers & Body Builders Co Ltd IPO,2010,30-Sep-10,05-Oct-10,BB,153,127,112.9,1,-11.1
Oberoi Realty Ltd IPO,2010,06-Oct-10,08-Oct-10,BB,"1,028.61",260,282.9,1,8.81
BS Transcomm Ltd IPO,2010,06-Oct-10,13-Oct-10,BB,190.45,248,381.25,1,53.73
Prestige Estates Projects Ltd IPO,2010,12-Oct-10,14-Oct-10,BB,"1,200.00",183,193.15,1,5.55
Gyscoal Alloys Ltd IPO,2010,13-Oct-10,15-Oct-10,BB,54.67,71,81.65,1,15
Coal India Limited IPO,2010,18-Oct-10,21-Oct-10,BB,"15,199.44",245,342.55,1,39.82
Gravita India Ltd IPO,2010,01-Nov-10,03-Nov-10,BB,45,125,209.7,1,67.76
RPP Infra Projects Ltd IPO,2010,18-Nov-10,22-Nov-10,BB,48.75,75,68.9,1,-8.13
MOIL Limited IPO,2010,26-Nov-10,01-Dec-10,BB,"1,237.51",375,465.05,1,24.01
Ravi Kumar Distilleries Ltd IPO,2010,08-Dec-10,10-Dec-10,BB,73.6,64,80.05,1,25.08
A2Z Maintenance & Engineering Services Ltd IPO,2010,08-Dec-10,10-Dec-10,BB,675,400,328.55,1,-17.86
Punjab & Sind Bank IPO,2010,13-Dec-10,16-Dec-10,BB,470.82,120,127.15,1,5.96
Shekhawati Poly-Yarn Ltd IPO,2010,27-Dec-10,29-Dec-10,FP,36,30,47.5,1,58.33
C Mahendra Exports Ltd IPO,2010,31-Dec-10,06-Jan-11,BB,165,110,110.75,1,0.68
Omkar Speciality Chemicals Ltd IPO,2011,24-Jan-11,27-Jan-11,BB,79.38,98,46.45,1,-52.6
Sudar Garments Ltd IPO,2011,21-Feb-11,24-Feb-11,BB,69.98,77,113.1,1,46.88
Acropetal Technologies Ltd IPO,2011,21-Feb-11,24-Feb-11,BB,170,90,98.45,1,9.39
Lovable Lingeries Ltd IPO,2011,08-Mar-11,11-Mar-11,BB,93.28,205,249.55,1,21.73
PTC India Financial Services Ltd IPO,2011,16-Mar-11,18-Mar-11,BB,438.76,28,24.9,1,-11.07
Shilpi Cable Technologies Ltd IPO,2011,22-Mar-11,25-Mar-11,BB,55.88,69,48.05,1,-30.36
Muthoot Finance Ltd IPO,2011,18-Apr-11,21-Apr-11,BB,901.25,175,175.9,1,0.51
Paramount Printpackaging Ltd IPO,2011,20-Apr-11,25-Apr-11,BB,45.83,35,27.05,1,-22.71
Future Ventures India Ltd IPO,2011,25-Apr-11,28-Apr-11,BB,750,10,8.2,1,-18
Innoventive Industries Ltd IPO,2011,26-Apr-11,29-Apr-11,BB,219.58,117,94.05,1,-19.62
Servalakshmi Paper Ltd IPO,2011,27-Apr-11,29-Apr-11,BB,60,29,19.05,1,-34.31
Vaswani Industries Ltd IPO,2011,29-Apr-11,03-May-11,BB,49,49,18.4,1,-62.45
Sanghvi Forging & Engineering Ltd IPO,2011,04-May-11,09-May-11,BB,36.9,85,112,1,31.76
Aanjaneya Lifecare Ltd IPO,2011,09-May-11,12-May-11,BB,117,234,311.1,1,32.95
Galaxy Surfactants Ltd IPO,2011,13-May-11,19-May-11,BB,,0,,0,0
Timbor Home Limited IPO,2011,30-May-11,02-Jun-11,BB,23.25,63,91.55,1,45.32
Rushil Decor Ltd IPO,2011,20-Jun-11,23-Jun-11,BB,40.64,72,119.5,1,65.97
Bharatiya Global Infomedia Ltd IPO,2011,11-Jul-11,14-Jul-11,BB,55.1,82,29.9,1,-63.54
Inventure Growth & Securities Ltd IPO,2011,20-Jul-11,22-Jul-11,BB,81.9,117,206.75,1,76.71
L&T Finance Holdings Limited IPO,2011,27-Jul-11,29-Jul-11,BB,"1,245.00",52,50.05,1,-3.75
Tree House Education & Accessories Ltd IPO,2011,10-Aug-11,12-Aug-11,BB,113.83,135,117.6,1,-12.89
Brooks Laboratories Ltd IPO,2011,16-Aug-11,18-Aug-11,BB,63,100,61.5,1,-38.5
SRS Limited IPO,2011,23-Aug-11,26-Aug-11,BB,203,58,33.25,1,-42.67
TD Power Systems Ltd IPO,2011,24-Aug-11,26-Aug-11,BB,227,256,275.25,1,7.52
PG Electroplast Limited IPO,2011,07-Sep-11,12-Sep-11,BB,120.65,210,415.3,1,97.76
Prakash Constrowell Ltd IPO,2011,19-Sep-11,21-Sep-11,BB,60,138,230,1,66.67
Swajas Air Charters Ltd IPO,2011,26-Sep-11,05-Oct-11,BB,,90,,0,0
Tijaria Polypipes Ltd IPO,2011,27-Sep-11,29-Sep-11,FP,60,60,18.6,1,-69
M and B Switchgears Ltd IPO,2011,28-Sep-11,05-Oct-11,BB,93,186,318.4,1,71.18
Onelife Capital Advisors Ltd IPO,2011,28-Sep-11,04-Oct-11,BB,36.85,110,145.95,1,32.68
Flexituff International Ltd IPO,2011,29-Sep-11,05-Oct-11,BB,104.63,155,165.55,1,6.81
Taksheel Solutions Ltd IPO,2011,29-Sep-11,04-Oct-11,BB,82.5,150,58.15,1,-61.23
Indo Thai Securities Limited IPO,2011,30-Sep-11,05-Oct-11,BB,29.6,74,23.15,1,-68.72
Goodwill Hospital & Research Centre Ltd IPO,2011,30-Dec-11,09-Jan-12,BB,,,,0,0
Multi Commodity Exchange of India Ltd IPO,2012,22-Feb-12,24-Feb-12,BB,663.31,"1,032.00",1296.7,1,25.65
National Buildings Construction Corporation Ltd IPO,2012,22-Mar-12,27-Mar-12,BB,127.2,106,96.95,1,-8.54
MT Educare Limited IPO,2012,27-Mar-12,29-Mar-12,BB,99,80,90.35,1,12.94
Tribhovandas Bhimji Zaveri Ltd IPO,2012,24-Apr-12,26-Apr-12,BB,200,120,111,1,-7.5
